Staff Member,Research Activity,Research Area,Special Focus
Shylock,"amassing wealth, seeking revenge",Shakespeare,Dagon Studies
Jane Eyre,looking after children,English literature,Dagon Studies
Arya Stark,seeking revenge,"Game of Thrones, Westeros",Dagon Studies
Katniss Everdeen,"fighting for justice, spreading revolution, instigating rebellion","Science Fiction, The Hunger Games",Dagon Studies
Mary Poppins,looking after children,Children's tales,Dagon Studies
Daenerys Targaryen,"ruling over subjects, running a kingdom","Game of Thrones, Westeros",Dagon Studies
Pippi Longstocking,playing pranks,Children's tales,Dagon Studies
Becky Sharp, climbing social ladders,English literature,Dagon Studies
Tess Durbeyfield, climbing social ladders,English literature,Dagon Studies
Nancy Drew,"solving mysteries, solving crimes, finding clues, interpreting evidence",Children's tales,Dagon Studies
Eliza Doolittle,handing out flowers,English literature,Dagon Studies
Holly Golightly, climbing social ladders,American literature,Dagon Studies
Miss Havisham,seeking revenge,English literature,Dagon Studies
Buffy Summers,"hunting demons, hunting monsters, killing demons, killing monsters",Horror,Dagon Studies
Helen of Troy,"worrying about adultery, preparing for war",Ancient Greece,Dagon Studies
Nurse Ratched,terrorizing employees,American literature,Dagon Studies
Cinderella, climbing social ladders,"Fairy Tales, ",Dagon Studies
Violet Baudelaire,"pioneering new technologies, inventing electrical marvels",Children's tales,Dagon Studies
Peter Rabbit,eating carrots,Children's tales,Dagon Studies
Hedda Gabler, frowning at errant husbands,Modern literature,Dagon Studies
Father Ted,"preaching tolerance, spreading Christianity,",Comedy,Dagon Studies
Saga Norén,"solving mysteries, solving crimes, finding clues, interpreting evidence",Scandinavian crime fiction,Dagon Studies
Winnie the Pooh,"cooking for friends, ",Children's tales,Dagon Studies
Willie Nelson,singing country music,Country music,
Sinead O'Connor,"singing pop songs, writing pop songs",Pop music,
Beatrix Potter,drawing whimsical cartoons,English literature,
Sterling Archer,"going on commando missions, kicking ass, performing kung-fu moves","Comedy, Animation, Espionage",Dagon Studies
Bob Belcher,"flipping hamburgers, ","Comedy, Animation, ",Dagon Studies
Walt Longmire,"solving mysteries, solving crimes, finding clues, interpreting evidence","Crime fiction, Detective fiction",
Eleanor Rigby,performing household chores,"The Beatles, Pop music",
Mister Magoo,causing mayhem,"Comedy, Animation, ",Dagon Studies
Joseph McCarthy,"fighting for democracy, promoting democracy","American history, American politics",
Offred,performing household chores,"Science Fiction, The Handmaid's Tale",
Hedda Hopper,"promoting conservative values, ranting about liberals, spreading political gossip","Hollywood, the Newspaper industry",
Roseanne Barr,"promoting conservative values, ranting about liberals, making vulgar jokes","Televison, Comedy",
Steve Guttenberg,"making dumb comedies, getting plastic surgery","Comedy, Hollywood",
